Followers,Ad_Spend,Estimated_Revenue,Engagement_Rate,Platform,Content_Type,Profitable
178826,7708.89,4358.53,0.049,Instagram,Video,No
832635,2921.19,7017.61,0.111,Facebook,Video,Yes
14440,9200.62,20714.72,0.176,Twitter,Image,Yes
606470,4530.94,9596.64,0.063,TikTok,Reel,No
45331,5693.5,7980.31,0.072,Facebook,Post,Yes
841230,959.94,1110.02,0.115,YouTube,Image,No
430332,8853.65,12142.07,0.198,Facebook,Story,Yes
327898,8152.73,21726.33,0.032,TikTok,Post,No
5138,2184.34,1925.69,0.183,YouTube,Reel,No
319647,1372.31,2293.93,0.164,YouTube,Post,Yes
427188,9447.87,6942.29,0.115,Instagram,Reel,No
736010,580.65,307.89,0.154,YouTube,Post,No
185626,8484.53,22346.81,0.102,Twitter,Video,Yes
502946,4481.79,10743.39,0.049,Facebook,Reel,No
469933,6361.47,13787.21,0.14,TikTok,Post,Yes
529014,197.48,462.66,0.108,Instagram,Video,Yes
432058,7748.09,8729.02,0.132,Facebook,Story,No
963106,8050.26,21550.18,0.062,TikTok,Story,No
969952,5637.01,11012.21,0.095,Twitter,Story,Yes
117492,8985.53,9492.88,0.169,Twitter,Reel,No
431634,2975.74,8321.23,0.086,Instagram,Post,Yes
802849,1516.3,3287.69,0.172,YouTube,Story,Yes
709092,1235.42,2290.33,0.182,Twitter,Image,Yes
537644,4787.01,10347.44,0.081,Twitter,Video,Yes
30709,4873.94,2865.4,0.091,Facebook,Post,No
365662,1512.95,3214.25,0.18,Twitter,Image,Yes
953615,3179.26,3584.4,0.148,TikTok,Story,No
353215,1287.41,1444.83,0.07,YouTube,Image,No
861395,314.83,462.75,0.053,TikTok,Image,No
260590,3096.83,3231.9,0.087,Instagram,Video,No
990873,1094.53,677.93,0.044,Twitter,Video,No
860466,435.37,1213.39,0.015,Twitter,Post,No
639447,3635.86,8419.97,0.163,YouTube,Story,Yes
395423,6037.22,7067.64,0.058,Twitter,Reel,No
611724,7322.15,20608.92,0.028,TikTok,Post,No
444833,1245.55,3528.88,0.143,TikTok,Story,Yes
574441,8836.45,23816.82,0.066,Twitter,Image,No
139009,8072.26,4386.55,0.041,Twitter,Story,No
872149,5041.78,11577.61,0.058,Instagram,Reel,No
220526,5139.92,14170.75,0.16,Instagram,Reel,Yes
434917,3673.62,4359.35,0.187,TikTok,Image,No
995453,4496.24,8048.14,0.122,YouTube,Reel,Yes
993475,5222.58,14966.84,0.021,Instagram,Story,No
689152,1377.14,3072.2,0.187,Instagram,Reel,Yes
484779,4716.4,4241.33,0.133,Instagram,Post,No
962568,4615.97,9731.32,0.089,TikTok,Image,Yes
939542,4203.36,10436.05,0.106,Instagram,Reel,Yes
486450,3214.19,5589.99,0.151,YouTube,Image,Yes
227179,4793.24,4870.33,0.038,TikTok,Reel,No
918999,3198.58,3636.32,0.089,TikTok,Video,No
787939,9037.99,27039.28,0.108,Twitter,Reel,Yes
189490,2726.6,3209.47,0.036,YouTube,Story,No
472249,7365.56,12103.4,0.154,Facebook,Post,Yes
119033,2380.91,2803.25,0.146,Instagram,Reel,No
946957,9516.35,18640.06,0.108,Facebook,Image,Yes
532740,8837.88,7350.7,0.184,Twitter,Video,No
534484,3627.34,3041.23,0.174,Facebook,Story,No
392182,8899.67,9625.53,0.129,Twitter,Story,No
620164,231.36,480.61,0.147,TikTok,Image,Yes
64610,9712.66,13063.29,0.11,Instagram,Image,Yes
494814,628.16,1395.65,0.167,YouTube,Story,Yes
34324,1494.21,4178.89,0.134,YouTube,Image,Yes
216558,7331.93,6947.76,0.083,TikTok,Story,No
635044,2930.68,3334.94,0.045,Twitter,Reel,No
858342,5916.37,7609.97,0.064,Instagram,Story,No
831185,8066.79,4940.78,0.157,YouTube,Story,No
230167,9259.95,22727.55,0.157,Facebook,Reel,Yes
529178,5727.48,15417.65,0.033,Facebook,Reel,No
881006,5721.63,4478.56,0.074,YouTube,Image,No
509069,589.9,920.29,0.156,Instagram,Post,Yes
804451,5050.34,9935.52,0.19,TikTok,Image,Yes
858549,3681.82,6306.06,0.027,Instagram,Post,No
305214,240.6,263.97,0.079,Instagram,Video,No
53691,2297.75,4094.51,0.011,Twitter,Story,No
554020,4325.22,8539.67,0.123,Twitter,Reel,Yes
291446,3173.98,8745.33,0.099,YouTube,Story,Yes
4969,811.67,2317.02,0.075,Instagram,Story,Yes
630474,6941.95,17053.99,0.031,YouTube,Reel,No
865950,6121.31,13294.2,0.078,Instagram,Post,Yes
253419,6374.3,16239.04,0.075,TikTok,Post,Yes
277091,7184.07,16320.23,0.071,Instagram,Story,Yes
571706,6590.1,17211.62,0.05,Instagram,Story,No
323854,7971.37,19441.13,0.034,TikTok,Reel,No
388773,1686.91,3047.35,0.14,YouTube,Post,Yes
